"","state","overall_homeless","overall_chronically_homeless","sheltered_total_chronically_homeless","year"
"157","AZ","10979","2086","576","2020"
"158","CA","161548","51785","9590","2020"
"159","CO","9846","2954","1348","2020"
"160","CT","2905","177","127","2020"
"161","DE","1165","267","211","2020"
"162","FL","27487","5182","1817","2020"
"163","GA","10234","1374","473","2020"
"164","HI","6458","1678","421","2020"
"165","IA","2647","368","290","2020"
"166","ID","2315","364","140","2020"
"167","IL","10431","2305","1259","2020"
"168","IN","5625","403","339","2020"
"169","KS","2449","380","188","2020"
"170","KY","4011","666","476","2020"
"171","LA","3173","437","204","2020"
"172","MA","17975","2042","1687","2020"
"173","MD","6360","1397","859","2020"
"174","ME","2097","248","204","2020"
"175","MI","8638","1109","823","2020"
"176","MN","7940","1787","972","2020"
"177","MO","6527","1090","647","2020"
"178","MS","1107","146","42","2020"
"179","MT","1545","223","59","2020"
"180","NC","9280","1272","750","2020"
"181","ND","541","92","77","2020"
"182","NE","2404","463","400","2020"
"183","NH","1675","446","265","2020"
"184","NJ","9662","1743","826","2020"
"185","NM","3333","1534","857","2020"
"186","NV","6900","1369","412","2020"
"187","NY","91271","7515","5920","2020"
"188","OH","10655","753","486","2020"
"189","OK","3932","1128","452","2020"
"190","OR","14655","4339","1029","2020"
"191","PA","13375","1772","1306","2020"
"192","RI","1104","226","201","2020"
"193","SC","4287","864","399","2020"
"194","SD","1058","162","122","2020"
"195","TN","7256","1153","445","2020"
"196","TX","27229","4033","1242","2020"
"197","UT","3131","688","427","2020"
"198","VA","5957","813","575","2020"
"199","VT","1110","185","149","2020"
"200","WA","22923","6756","2284","2020"
"201","WI","4515","611","531","2020"
"202","WV","1341","174","111","2020"
"203","WY","612","81","24","2020"
"204","Total","580466","120323","43871","2020"
"205","AK","1907","269","170","2019"
"206","AL","3261","369","230","2019"
"207","AR","2717","691","238","2019"
"208","AZ","10007","1876","666","2019"
"209","CA","151278","41557","7887","2019"
"210","CO","9619","2187","1269","2019"
"211","CT","3033","214","141","2019"
"212","DE","921","168","131","2019"
"213","FL","28328","5729","1841","2019"
"214","GA","10443","1137","470","2019"
"215","HI","6412","1767","304","2019"
"216","IA","2315","340","278","2019"
"217","ID","2315","449","252","2019"
"218","IL","10199","1842","1369","2019"
"219","IN","5471","366","314","2019"
"220","KS","2381","399","202","2019"
"221","KY","4079","534","454","2019"
"222","LA","2941","446","189","2019"
"223","MA","18471","2370","2125","2019"
"224","MD","6561","1295","716","2019"
"225","ME","2106","226","193","2019"
"226","MI","8575","950","800","2019"
"227","MN","7977","1745","1113","2019"
"228","MO","6179","1062","744","2019"
"229","MS","1184","223","71","2019"
"230","MT","1357","228","133","2019"
"231","NC","9314","1271","736","2019"
"232","ND","557","73","73","2019"
"233","NE","2365","454","413","2019"
"234","NH","1396","218","156","2019"
"235","NJ","8862","1419","726","2019"
"236","NM","3241","1455","778","2019"
"237","NV","7169","715","552","2019"
"238","NY","92091","7229","5631","2019"
"239","OH","10345","874","540","2019"
"240","OK","3944","954","336","2019"
"241","OR","15876","4902","1036","2019"
"242","PA","13199","1863","1224","2019"
"243","RI","1055","198","187","2019"
"244","SC","4172","942","352","2019"
"245","SD","995","100","58","2019"
"246","TN","7467","1133","569","2019"
"247","TX","25848","3511","1629","2019"
"248","UT","2798","512","364","2019"
"249","VA","5783","881","644","2019"
"250","VT","1089","190","157","2019"
"251","WA","21577","4884","2073","2019"
"252","WI","4538","533","439","2019"
